Name,SMILES,Binary_efficiency,Lipid_ratio,Chol_ratio,Helper_ratio,PEG-ratio
adfm200900519-NC98,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,1,100,0,0,0
adfm200900519-NC100,CCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0,100,0,0,0
adfm200900519-NC110,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,1,100,0,0,0
adfm200900519-NC111,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0,100,0,0,0
adfm200900519-NC112,CCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0,100,0,0,0
adfm200900519-NC114,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0,100,0,0,0
adfm200900519-NC115,CCCCCCCCCCCCN(CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0,100,0,0,0
adfm200900519-NC116,CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)[C@@H]1CCCC[C@H]1N(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,1,100,0,0,0
adfm200900519-ND98,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,1,100,0,0,0
adfm200900519-ND100,CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0,100,0,0,0
